rawCallsign,rawAircraftRegistration,rawAircraftHex,matchMethod,confidence,identifierAgreement,matchedFlightNumber,matchedFlightCallsign,matchedFlightRegistration,matchedFlightModeS,airlineIcao,airlineIata,route,direction,scheduledTimeLocal,score,source
DAL2646,N361NB,A41131,icao24,high,icao24,2646,DAL2646,N361NB,A41131,DAL,DL,KBOS-KORD,arrival,2026-05-14 18:15-05:00,100,aerodatabox-airport-fids
N714UF,N714UF,A98CB1,route-time-position-score,low,none,3838,,,,AAL,AA,KORD-KMCI,departure,2026-05-14 17:28-05:00,24,aerodatabox-airport-fids
N6896H,N6896H,A927D8,route-time-position-score,low,none,2792,FFT2792,N718FR,A99A52,FFT,F9,KORD-KMCO,departure,2026-05-14 17:30-05:00,24,aerodatabox-airport-fids
N497ER,N497ER,A62A8D,route-time-position-score,low,none,1611,WJA1611,C-GMWJ,C0669E,WJA,WS,KORD-CYYC,departure,2026-05-14 17:30-05:00,24,aerodatabox-airport-fids
N9459P,N9459P,AD235C,route-time-position-score,low,none,9871,ENY9871,N251NN,A25C6E,ENY,MQ,KORD-KMIA,departure,2026-05-14 17:30-05:00,26,aerodatabox-airport-fids
CXK576,N412FR,A4DC1B,route-time-position-score,low,none,3407,ENY3407,N778RH,AA883E,ENY,MQ,KORD-KCVG,departure,2026-05-14 17:37-05:00,24,aerodatabox-airport-fids
AAL536,N844NN,AB8FEE,icao24,high,icao24,536,AAL536,N844NN,AB8FEE,AAL,AA,KCLT-KORD,arrival,2026-05-14 17:58-05:00,100,aerodatabox-airport-fids
N645SD,N645SD,A87962,route-time-position-score,low,none,3407,,,,AAL,AA,KORD-KCVG,departure,2026-05-14 17:37-05:00,26,aerodatabox-airport-fids
DAL1668,N371NB,A438B0,icao24,high,icao24,1668,DAL1668,N371NB,A438B0,DAL,DL,KDTW-KORD,arrival,2026-05-14 18:05-05:00,100,aerodatabox-airport-fids
N9637Q,N9637Q,AD6AA7,route-time-position-score,low,none,673,AAL673,N955NN,AD4873,AAL,AA,KORD-KLGA,departure,2026-05-14 17:38-05:00,24,aerodatabox-airport-fids
N4397Q,N4397Q,A547E9,route-time-position-score,low,none,1151,AAL1151,N315RJ,A35AE4,AAL,AA,KORD-KLAS,departure,2026-05-14 17:39-05:00,24,aerodatabox-airport-fids
N336MC,N336MC,A3AD2F,route-time-position-score,low,none,2837,AAL2837,N867NN,ABEA11,AAL,AA,KORD-KBOS,departure,2026-05-14 17:39-05:00,24,aerodatabox-airport-fids
N24BQ,N24BQ,A22DCE,route-time-position-score,low,none,1471,DAL1471,N130DU,A07B8F,DAL,DL,KORD-KMSP,departure,2026-05-14 17:41-05:00,27,aerodatabox-airport-fids
N80790,N80790,AAFF8A,route-time-position-score,low,none,4409,RPA4409,N430YX,A5255A,AAL,AA,KORD-KCLE,departure,2026-05-14 17:42-05:00,27,aerodatabox-airport-fids
,N827PA,AB4C22,route-time-position-score,low,none,2323,AAL2323,N807NN,AAFD17,AAL,AA,KORD-KMIA,departure,2026-05-14 17:20-05:00,27,aerodatabox-airport-fids
N7111W,N7111W,A98254,route-time-position-score,low,none,1910,AAL1910,N467AL,A5B3A7,AAL,AA,MMUN-KORD,arrival,2026-05-14 17:13-05:00,22,aerodatabox-airport-fids
N935RK,N935RK,ACF9BD,route-time-position-score,low,none,1159,UAL1159,N14559,A0B86C,UAL,UA,KIAH-KORD,arrival,2026-05-14 17:13-05:00,24,aerodatabox-airport-fids
N117HD,N117HD,A046E7,route-time-position-score,low,none,1253,AAL1253,N316SE,A35EB0,AAL,AA,KSFO-KORD,arrival,2026-05-14 17:17-05:00,22,aerodatabox-airport-fids
N400WT,N400WT,A4AEA7,route-time-position-score,low,none,928,UAL928,N665UA,A8C88F,UAL,UA,EGLL-KORD,arrival,2026-05-14 17:20-05:00,24,aerodatabox-airport-fids
N149UD,N149UD,A0C5E5,route-time-position-score,low,none,91,AAL91,N843AN,AB8B0B,AAL,AA,EGLL-KORD,arrival,2026-05-14 17:35-05:00,22,aerodatabox-airport-fids
ENY3962,N328DS,A38C64,icao24,high,icao24,3962,ENY3962,N328DS,A38C64,ENY,MQ,KAZO-KORD,arrival,2026-05-14 17:33-05:00,100,aerodatabox-airport-fids
ENY4161,N207AN,A1AC11,icao24,high,icao24,4161,ENY4161,N207AN,A1AC11,ENY,MQ,CYYC-KORD,arrival,2026-05-14 18:02-05:00,100,aerodatabox-airport-fids
N8375V,N8375V,AB7576,route-time-position-score,low,none,557,AAL557,N9015D,AC75EE,AAL,AA,KRDU-KORD,arrival,2026-05-14 17:26-05:00,25,aerodatabox-airport-fids
AAL975,N890NN,AC468D,icao24,high,icao24,975,AAL975,N890NN,AC468D,AAL,AA,MKJS-KORD,arrival,2026-05-14 17:55-05:00,100,aerodatabox-airport-fids
N6003R,N6003R,A7CA10,route-time-position-score,low,none,1462,AAL1462,N803AW,AAED17,AAL,AA,KPHL-KORD,arrival,2026-05-14 17:29-05:00,22,aerodatabox-airport-fids
,N611AM,A7F281,route-time-position-score,low,none,309,LXJ309,N309FX,A34154,LXJ,,KCGF-KORD,arrival,2026-05-14 17:18-05:00,22,aerodatabox-airport-fids
N11228,N11228,A03660,route-time-position-score,low,none,ENY4199,ENY4199,N336TS,A3ADD3,,,KMSO-KORD,arrival,2026-05-14 17:13-05:00,22,aerodatabox-airport-fids
N212GX,N212GX,A1C19C,route-time-position-score,low,none,1592,AAL1592,N969AN,AD7DA2,AAL,AA,KLAX-KORD,arrival,2026-05-14 17:41-05:00,25,aerodatabox-airport-fids
N104PF,N104PF,A014DB,route-time-position-score,low,none,4833,,,,AAL,AA,KLWB-KORD,arrival,2026-05-14 17:18-05:00,22,aerodatabox-airport-fids
ENY3579,N743MB,A9FEC4,icao24,high,icao24,3579,ENY3579,N743MB,A9FEC4,ENY,MQ,KDTW-KORD,arrival,2026-05-14 17:18-05:00,100,aerodatabox-airport-fids
